[ 2025-06-08 21:37:12,305 ] 16 root - INFO - Initiate the data ingestion
[ 2025-06-08 21:37:15,696 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-08 21:37:15,697 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-08 21:37:15,697 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-08 21:37:15,755 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-08 21:37:15,756 ] 18 root - INFO - Data Initiation Completed
[ 2025-06-08 21:37:15,772 ] 22 root - INFO - Initiate the data Validation
[ 2025-06-08 21:37:15,897 ] 32 root - INFO - Required number of columns:2
[ 2025-06-08 21:37:15,897 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-08 21:37:15,898 ] 32 root - INFO - Required number of columns:2
[ 2025-06-08 21:37:15,898 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-08 21:37:16,089 ] 24 root - INFO - data Validation Completed
